# dates,infections,hospitalizations,deaths,mean_r_t
2020-07-06,431.4463051463365,114.0,4.87511209055766,1.0168074434545373
2020-07-07,436.57037940314154,110.0,4.69369933338324,1.0242314929483944
2020-07-08,441.98082758729964,107.0,4.519008868533918,1.030093659579721
2020-07-09,447.62142760392584,104.0,4.350997951276694,1.034644216556727
2020-07-10,453.4494839738048,102.0,4.189678814125974,1.0381268941590127
2020-07-11,459.4324466156541,99.0,4.03511171508947,1.0407601429962527
2020-07-12,465.54519661270325,97.0,3.8873905382476517,1.0427294224142012
2020-07-13,471.7683473936877,95.0,3.737506914546344,1.0441864160670848
2020-07-14,478.0871820808403,94.0,3.588143165977361,1.0452519484016314
2020-07-15,484.4907323597223,93.0,3.4413874222252367,1.046020449623501
2020-07-16,490.97083960925823,92.0,3.298848585475299,1.046564707705709
2020-07-17,497.5213357830289,92.0,3.161740694200458,1.046940263132243
2020-07-18,504.13748777740403,92.0,3.0309421992753958,1.047189181183195
2020-07-19,510.8156795374538,92.0,2.9070469630666396,1.0473431464795067
2020-07-20,517.5531996681733,92.0,2.790411813769625,1.0474259275544684
2020-07-21,524.3564513546743,92.0,2.6811984157645705,1.047472434629395
2020-07-22,531.0806561533394,93.0,2.579409530844025,1.0472073300675349
2020-07-23,537.8461557503191,94.0,2.4847334458988484,1.0468912796956384
2020-07-24,544.6326686810517,95.0,2.3968142807127064,1.046507575790253
2020-07-25,551.4173450619289,96.0,2.31526156173599,1.0460340105904584
2020-07-26,558.1650060443353,97.0,2.239660143447141,1.045441280318853
2020-07-27,564.8301214717915,98.0,2.1695825451214787,1.044691000840661
2020-07-28,571.3822392029844,99.0,2.104601442551329,1.0437333995084013
2020-07-29,577.7756430803636,101.0,2.044295493072327,1.042504820989847
2020-07-30,583.9407643613157,102.0,1.9882552622318044,1.0409253819934847
2020-07-31,589.7895279777749,103.0,1.9360902624802827,1.038897453467677
2020-08-01,595.2087447129454,105.0,1.887435022836518,1.0363060994598314
2020-08-02,600.06980173896,106.0,1.8419558955036226,1.033023168105389
2020-08-03,604.228433217291,108.0,1.7993504103096698,1.0289171930288499
2020-08-04,607.530542254864,109.0,1.7593447890526688,1.023871143773583
2020-08-05,609.8270471073351,110.0,1.7216919439861431,1.0178086573877985
2020-08-06,610.9945724950803,112.0,1.686169147005456,1.01072599191389
2020-08-07,610.9600431589826,113.0,1.652579323856604,1.0027218273610794
2020-08-08,609.718916853944,115.0,1.6207449783854897,0.9940124677455063
2020-08-09,608.6177334388985,116.0,1.5942581658545447,0.9870278731361769
2020-08-10,606.4952244557496,118.0,1.5743309404407553,0.9800115535814135
2020-08-11,603.571875322664,119.0,1.5598007298185461,0.9733510091468404
2020-08-12,600.0747829205101,121.0,1.5501341557052029,0.967373013500046
2020-08-13,596.2812682285471,122.0,1.5444937867314312,0.9622997421825136
2020-08-14,592.4492002156156,124.0,1.5421817015041706,0.9582360085890491
2020-08-15,588.5813615399956,125.0,1.5426112396625016,0.9551835700621145
2020-08-16,584.6860963609995,126.0,1.5452842816795316,0.9530704300150786
2020-08-17,580.8292619017161,128.0,1.5497742891563986,0.9517827072380312
2020-08-18,577.0654038403172,129.0,1.5557083726389636,0.951190974085104
2020-08-19,573.4753172657493,130.0,1.562829341769346,0.95116822078061
2020-08-20,570.0827681496168,131.0,1.5709322845050226,0.9516000055718845
2020-08-21,566.8876526978313,132.0,1.579805760987972,0.9523887574946922
2020-08-22,563.8915434737636,132.0,1.5892334590424044,0.953454394098742
2020-08-23,561.1013224176503,133.0,1.5989897770824775,0.9547329276705202
2020-08-24,558.5311359328455,133.0,1.608841579308001,0.9561742042436159
2020-08-25,556.188897569972,133.0,1.6191248090612342,0.9577394559356684
2020-08-26,554.0738863457958,133.0,1.6295292057992128,0.9593990167634274
2020-08-27,552.1831082646427,133.0,1.639785165535238,0.9611303532593497
2020-08-28,550.5142914968732,132.0,1.6496666385925285,0.9629164426043175
2020-08-29,549.0888325547759,132.0,1.658980082674197,0.9647820704373958
2020-08-30,547.8863931503931,131.0,1.6675568763681938,0.9666802022542053
