the_geom,the_geom_webmercator,collection_date,count,test_result
,,31.08.20,2560,negative
,,31.08.20,236,positive
,,01.09.20,161,positive
,,01.09.20,4196,negative
,,02.09.20,127,positive
,,02.09.20,4283,negative
,,03.09.20,120,positive
,,03.09.20,3805,negative
,,04.09.20,3939,negative
,,04.09.20,94,positive
,,05.09.20,70,positive
,,05.09.20,2836,negative
,,06.09.20,53,positive
,,06.09.20,3134,negative
,,07.09.20,29,positive
,,07.09.20,2044,negative
,,08.09.20,2770,negative
,,08.09.20,95,positive
,,09.09.20,106,positive
,,09.09.20,3635,negative
,,10.09.20,3806,negative
,,10.09.20,121,positive
,,11.09.20,3596,negative
,,11.09.20,135,positive
,,12.09.20,62,positive
,,12.09.20,3589,negative
,,13.09.20,38,positive
,,13.09.20,2901,negative
,,14.09.20,105,positive
,,14.09.20,3628,negative
,,15.09.20,100,positive
,,15.09.20,3863,negative
,,16.09.20,98,positive
,,16.09.20,4387,negative
,,17.09.20,4323,negative
,,17.09.20,91,positive
,,18.09.20,120,positive
,,18.09.20,4352,negative
,,19.09.20,67,positive
,,19.09.20,3728,negative
,,20.09.20,2859,negative
,,20.09.20,37,positive
,,21.09.20,3908,negative
,,21.09.20,104,positive
,,22.09.20,111,positive
,,22.09.20,4090,negative
,,23.09.20,122,positive
,,23.09.20,4495,negative
,,24.09.20,122,positive
,,24.09.20,4489,negative
,,25.09.20,4713,negative
,,25.09.20,112,positive
,,26.09.20,74,positive
,,26.09.20,3416,negative
,,27.09.20,2965,negative
,,27.09.20,79,positive
,,28.09.20,147,positive
,,28.09.20,3846,negative
,,29.09.20,160,positive
,,29.09.20,4374,negative
,,30.09.20,182,positive
,,30.09.20,4584,negative
,,01.10.20,185,positive
,,01.10.20,4326,negative
,,02.10.20,149,positive
,,02.10.20,4705,negative
,,03.10.20,108,positive
,,03.10.20,3623,negative
,,04.10.20,109,positive
,,04.10.20,3015,negative
,,05.10.20,203,positive
,,05.10.20,4249,negative
,,06.10.20,5079,negative
,,06.10.20,209,positive
,,07.10.20,235,positive
,,07.10.20,5274,negative
,,08.10.20,269,positive
,,08.10.20,5588,negative
,,09.10.20,219,positive
,,09.10.20,5475,negative
,,10.10.20,137,positive
,,10.10.20,4656,negative
,,11.10.20,4741,negative
,,11.10.20,100,positive
,,12.10.20,198,positive
,,12.10.20,4404,negative
,,13.10.20,5200,negative
,,13.10.20,222,positive
,,14.10.20,311,positive
,,14.10.20,5564,negative
,,15.10.20,250,positive
,,15.10.20,6353,negative
,,16.10.20,5381,negative
,,16.10.20,292,positive
,,17.10.20,4977,negative
,,17.10.20,170,positive
,,18.10.20,176,positive
,,18.10.20,3936,negative
,,19.10.20,277,positive
,,19.10.20,4359,negative
,,20.10.20,380,positive
,,20.10.20,5061,negative
,,21.10.20,430,positive
,,21.10.20,5889,negative
,,22.10.20,441,positive
,,22.10.20,6028,negative
,,23.10.20,6897,negative
,,23.10.20,428,positive
,,24.10.20,268,positive
,,24.10.20,4707,negative
,,25.10.20,4107,negative
,,25.10.20,212,positive
,,26.10.20,5130,negative
,,26.10.20,462,positive
,,27.10.20,5516,negative
,,27.10.20,402,positive
,,28.10.20,6088,negative
,,28.10.20,490,positive
,,29.10.20,450,positive
,,29.10.20,6426,negative
,,30.10.20,6069,negative
,,30.10.20,531,positive
,,31.10.20,5165,negative
,,31.10.20,291,positive
,,01.11.20,4889,negative
,,01.11.20,270,positive
,,02.11.20,536,positive
,,02.11.20,5347,negative
,,03.11.20,617,positive
,,03.11.20,6140,negative
,,04.11.20,645,positive
,,04.11.20,6037,negative
,,05.11.20,823,positive
,,05.11.20,6642,negative
,,06.11.20,6491,negative
